date,Водоотведение инд,Водоотведение одн,Водоотведение расход,ГВС инд,ГВС одн,ГВС расход,Газ инд,Газ одн,Газ расход,Отопление инд,Отопление одн,Отопление расход,ХВС инд,ХВС одн,ХВС расход,Эл-я День инд,Эл-я День одн,Эл-я День расход,Эл-я Ночь инд,Эл-я Ночь одн,Эл-я Ночь расход,Эл-я инд,Эл-я одн,Эл-я расход
01.03.2023,,,,6718.213,0,-,,,,868.74,0,868.74,10270.921,0,10059,,,,,,,347219.1665,45316,-
01.04.2023,,,,5672.4077,802.14,-,,,,580.48,-0,580.48,8608.7488,802.14,15911,,,,,,,299140.6867,62398,-
01.05.2023,,,,4423.3629,1153.31,-,,,,-241.7742,452.0573,1659.5031,6987.0265,1153.31,13717,,,,,,,233866.9445,65793,-
01.06.2023,,,,4475.8419,0,-,,,,,,,7969.4759,0,10327,,,,,,,242222.7103,39430,-
01.07.2023,,,,4277.9343,0,-,,,,-,-,0,7652.3191,0,9245,,,,,,,227383.8807,37256,-
01.08.2023,,,,3911.8645,0,-,,,,,,,7541.3892,0,11547,,,,,,,230909.9026,39773,-
01.09.2023,,,,4183.2786,0,-,,,,,,,8263.6308,0,13980,,,,,,,235606.4084,42746,-
01.10.2023,,,,4715.5674,0,-,,,,258.961,303.0622,562.0232,8541.5148,0,15054,,,,,,,267715.8358,34305,-
01.11.2023,13557.7584,0,-,4915.9193,0,-,-,-,220.97,591.3685,416.0377,1007.4062,8641.8391,0,12478,162018.1414,43025,-,52276.5237,14318,-,,,
01.12.2023,13856.3501,0,-,5474.8731,0,-,-,-,272,1025.2362,207.5732,1232.8094,8381.4771,0,13828,170369.7568,31223,-,53244.4887,10273,-,,,
01.01.2024,13261.3383,0,-,5275.0191,0,-,-,-,322,1251.7829,295.3727,1547.1556,7986.3192,0,13361,15529.9937,36749,-,66108.2385,12203,-,,,
01.02.2024,13502.3787,0,-,5492.4494,0,-,-,-,268,1073.5837,142.85,1216.4337,8009.9293,0,14894,258200.8724,31229,-,60697.3098,12083,-,,,
01.03.2024,13005.0221,0,-,5189.0006,0,-,-,-,193.41,776.4248,41.3512,817.776,7816.0215,0,13554,238835.1975,32414,-,55099.7268,13568,-,,,
01.04.2024,13444.0706,0,-,5556.9473,0,-,-,-,185.401,530.5237,211.4209,741.9446,7887.1232,0,16116,226282.9784,37393,-,50062.8822,15247,-,,,
01.05.2024,13750.0226,329.7492,-,5372.144,164.8746,-,-,-,118.153,466.1522,- 123.1955,342.9567,8377.8786,164.8746,11505,243846.7671,44115.994,-,64055.4548,0,-,,,
01.06.2024,12411.074,329.7492,-,4568.0862,164.8746,-,-,-,51.497,-,-,0,7844.0123,164.8746,13657,128599.5061,44115.994,-,51552.4668,-,-,,,
01.07.2024,12323.3942,329.7492,-,4304.6542,164.8746,-,-,-,44.794,,,,8036.3972,164.8746,9629,211809.3674,44115.994,-,48914.1998,-,-,,,
